GCXH,XZQHMC,ROAD_ID,K_INDEX,BOUNDARY_LEVEL,BOUNDARY_DETAIL,BOUNDARY_LABEL,CLEAN_KKMC,FXLX,GCSJ,GCSJ_TS,HPZL,HPZL_LABEL,HPHM,BRAND
G320300109272170960,睢宁县,G104,K873,PROVINCE,江苏-安徽,苏皖界,G104-K873-省际卡口,1,2024-01-27 00:04:05,1706285045000,02,小型汽车,苏CY1***,未知
G320300109272171365,邳州市,S250,K1,PROVINCE,江苏-山东,苏鲁界,S250-K1-省际卡口,1,2024-01-27 00:04:18,1706285058000,01,大型汽车,鲁Q62***,福田
G320300109272171990,铜山县,G104,K744,PROVINCE,江苏-山东,苏鲁界,G104-K744-省际卡口,1,2024-01-27 00:04:37,1706285077000,02,小型汽车,苏CY5***,未知
G320300109272171850,铜山县,G311,K207,PROVINCE,江苏-安徽,苏皖界,G311-K207-省际卡口,1,2024-01-27 00:04:41,1706285081000,02,小型汽车,苏C63***,起亚
G320300109272171977,邳州市,S250,K1,PROVINCE,江苏-山东,苏鲁界,S250-K1-省际卡口,1,2024-01-27 00:04:44,1706285084000,02,小型汽车,鲁NS1***,福特
G320300109272172067,新沂市,G235,K10,CITY,徐州-连云港,连云港交界,G235-K10-市际卡口,1,2024-01-27 00:04:46,1706285086000,02,小型汽车,苏N15***,现代
G320300109272172331,铜山县,G310,K310,PROVINCE,江苏-安徽,苏皖界,G310-K310-省际卡口,1,2024-01-27 00:05:02,1706285102000,02,小型汽车,苏C37***,长安
G320300109272173404,铜山县,G311,K207,PROVINCE,江苏-安徽,苏皖界,G311-K207-省际卡口,1,2024-01-27 00:05:31,1706285131000,02,小型汽车,苏C5N***,五菱
G320300109272175273,高速五大队,G3,K731,PROVINCE,江苏-山东,苏鲁界,G3-K731-省际卡口,1,2024-01-27 00:06:07,1706285167000,02,小型汽车,苏CH1***,别克
G320300109272174256,新沂市,G235,K10,CITY,徐州-连云港,连云港交界,G235-K10-市际卡口,1,2024-01-27 00:06:09,1706285169000,02,小型汽车,苏C5R***,大众
G320300109272174331,铜山县,G311,K207,PROVINCE,江苏-安徽,苏皖界,G311-K207-省际卡口,1,2024-01-27 00:06:12,1706285172000,52,教练车,苏CDL***,未知
G320300109272174432,铜山县,G311,K207,PROVINCE,江苏-安徽,苏皖界,G311-K207-省际卡口,1,2024-01-27 00:06:16,1706285176000,02,小型汽车,苏CH1***,宝马
G320300109272174486,邳州市,S250,K1,PROVINCE,江苏-山东,苏鲁界,S250-K1-省际卡口,1,2024-01-27 00:06:16,1706285176000,01,大型汽车,苏C9T***,江淮
G320300109272174561,新沂市,G235,K10,CITY,徐州-连云港,连云港交界,G235-K10-市际卡口,1,2024-01-27 00:06:18,1706285178000,01,大型汽车,苏NGW***,未知
G320300109272174722,睢宁县,G104,K873,PROVINCE,江苏-安徽,苏皖界,G104-K873-省际卡口,1,2024-01-27 00:06:22,1706285182000,01,大型汽车,苏CGK***,长城
G320300109272174723,新沂市,S323,K10,CITY,徐州-连云港,连云港交界,S323-K10-市际卡口,1,2024-01-27 00:06:27,1706285187000,01,大型汽车,鲁Q03***,一汽
G320300109272176025,新沂市,G235,K10,CITY,徐州-连云港,连云港交界,G235-K10-市际卡口,1,2024-01-27 00:07:14,1706285234000,02,小型汽车,苏C1M***,五菱
G320300109272177234,高速五大队,G3,K731,PROVINCE,江苏-山东,苏鲁界,G3-K731-省际卡口,1,2024-01-27 00:07:27,1706285247000,02,小型汽车,沪FEW***,江淮
G320300109272177253,高速五大队,G3,K731,PROVINCE,江苏-山东,苏鲁界,G3-K731-省际卡口,1,2024-01-27 00:07:27,1706285247000,02,小型汽车,沪FEW***,五十铃
G320300109272176566,邳州市,S251,K5,PROVINCE,江苏-山东,苏鲁界,S251-K5-省际卡口,1,2024-01-27 00:07:38,1706285258000,02,小型汽车,苏C17***,未知
G320300109272177615,高速五大队,G3,K731,PROVINCE,江苏-山东,苏鲁界,G3-K731-省际卡口,1,2024-01-27 00:07:42,1706285262000,01,大型汽车,鄂J0C***,长安
G320300109272176976,邳州市,S250,K1,PROVINCE,江苏-山东,苏鲁界,S250-K1-省际卡口,1,2024-01-27 00:07:54,1706285274000,01,大型汽车,鲁JA6***,红旗
