CLEAN_KKMC,Date,Count
G206-K816-省际卡口,2023-12-31,633
G235-K10-市际卡口,2023-12-31,626
G3-K731-省际卡口,2023-12-31,1630
G310-K310-省际卡口,2023-12-31,1061
G311-K207-省际卡口,2023-12-31,792
G518518-K358-省际卡口,2023-12-31,287
S250-K1-省际卡口,2023-12-31,1466
S251-K5-省际卡口,2023-12-31,270
S252-K56-省际卡口,2023-12-31,420
S253-K0-省际卡口,2023-12-31,390
S323-K10-市际卡口,2023-12-31,395
S323-K96-市际卡口,2023-12-31,157
S324-K201-市际卡口,2023-12-31,45
S325-K63-市际卡口,2023-12-31,702
S505-K10-市际卡口,2023-12-31,368
X308-K19-市际卡口,2023-12-31,356
G104-K744-省际卡口,2024-01-01,960
G104-K873-省际卡口,2024-01-01,759
G206-K816-省际卡口,2024-01-01,429
G235-K10-市际卡口,2024-01-01,1002
G3-K731-省际卡口,2024-01-01,979
G310-K310-省际卡口,2024-01-01,764
G311-K207-省际卡口,2024-01-01,1565
G518518-K358-省际卡口,2024-01-01,536
S250-K1-省际卡口,2024-01-01,1141
S251-K5-省际卡口,2024-01-01,220
S252-K56-省际卡口,2024-01-01,421
S253-K0-省际卡口,2024-01-01,370
S323-K10-市际卡口,2024-01-01,282
S323-K96-市际卡口,2024-01-01,536
S324-K201-市际卡口,2024-01-01,153
S325-K63-市际卡口,2024-01-01,987
S505-K10-市际卡口,2024-01-01,328
X308-K19-市际卡口,2024-01-01,339
G104-K744-省际卡口,2024-01-02,814
G104-K873-省际卡口,2024-01-02,1149
G206-K816-省际卡口,2024-01-02,380
G235-K10-市际卡口,2024-01-02,929
G3-K731-省际卡口,2024-01-02,1094
G310-K310-省际卡口,2024-01-02,827
G311-K207-省际卡口,2024-01-02,1304
G518518-K358-省际卡口,2024-01-02,555
S250-K1-省际卡口,2024-01-02,1638
S251-K5-省际卡口,2024-01-02,235
S252-K56-省际卡口,2024-01-02,505
S253-K0-省际卡口,2024-01-02,492
S323-K10-市际卡口,2024-01-02,396
S323-K96-市际卡口,2024-01-02,536
S324-K201-市际卡口,2024-01-02,162
S325-K63-市际卡口,2024-01-02,621
S505-K10-市际卡口,2024-01-02,331
X308-K19-市际卡口,2024-01-02,330
G104-K744-省际卡口,2024-01-03,795
G104-K873-省际卡口,2024-01-03,982
G206-K816-省际卡口,2024-01-03,356
G235-K10-市际卡口,2024-01-03,942
G3-K731-省际卡口,2024-01-03,964
G310-K310-省际卡口,2024-01-03,691
G311-K207-省际卡口,2024-01-03,1261
G518518-K358-省际卡口,2024-01-03,395
S250-K1-省际卡口,2024-01-03,1441
S251-K5-省际卡口,2024-01-03,206
S252-K56-省际卡口,2024-01-03,456
S253-K0-省际卡口,2024-01-03,404
S323-K10-市际卡口,2024-01-03,309
S323-K96-市际卡口,2024-01-03,477
S324-K201-市际卡口,2024-01-03,132
S325-K63-市际卡口,2024-01-03,395
S505-K10-市际卡口,2024-01-03,276
X308-K19-市际卡口,2024-01-03,207
G104-K744-省际卡口,2024-01-04,937
G104-K873-省际卡口,2024-01-04,1173
G206-K816-省际卡口,2024-01-04,573
G235-K10-市际卡口,2024-01-04,677
G3-K731-省际卡口,2024-01-04,1064
G310-K310-省际卡口,2024-01-04,1065
G311-K207-省际卡口,2024-01-04,1705
G518518-K358-省际卡口,2024-01-04,502
S250-K1-省际卡口,2024-01-04,1611
S251-K5-省际卡口,2024-01-04,214
S252-K56-省际卡口,2024-01-04,452
S253-K0-省际卡口,2024-01-04,574
S323-K10-市际卡口,2024-01-04,239
S323-K96-市际卡口,2024-01-04,978
S324-K201-市际卡口,2024-01-04,49
S325-K63-市际卡口,2024-01-04,1537
S505-K10-市际卡口,2024-01-04,376
X308-K19-市际卡口,2024-01-04,409
G104-K744-省际卡口,2024-01-05,682
G104-K873-省际卡口,2024-01-05,788
G206-K816-省际卡口,2024-01-05,351
G235-K10-市际卡口,2024-01-05,555
G237-K148-省际卡口,2024-01-05,4
G3-K731-省际卡口,2024-01-05,768
G310-K310-省际卡口,2024-01-05,672
G311-K207-省际卡口,2024-01-05,1390
G518518-K358-省际卡口,2024-01-05,208
S250-K1-省际卡口,2024-01-05,1358
S251-K5-省际卡口,2024-01-05,159
S252-K56-省际卡口,2024-01-05,267
S253-K0-省际卡口,2024-01-05,397
S323-K10-市际卡口,2024-01-05,284
S323-K96-市际卡口,2024-01-05,592
S324-K201-市际卡口,2024-01-05,153
S325-K63-市际卡口,2024-01-05,827
