Date,Open,High,Close
2020-12-22 07:43:00,38,7,18
2020-12-22 07:44:00,35,6,21
2020-12-22 07:45:00,44,9,19
2020-12-22 07:46:00,31,4,29
2020-12-22 07:47:00,32,1,19
2020-12-22 07:48:00,43,8,13
2020-12-22 07:49:00,40,6,24
2020-12-22 07:51:00,57,9,26
2020-12-22 07:52:00,48,9,17
2020-12-22 07:53:00,27,7,10
2020-12-22 07:54:00,42,10,8
2020-12-22 07:55:00,54,9,30
2020-12-22 07:56:00,37,12,26
2020-12-22 07:57:00,46,3,27
2020-12-22 07:58:00,47,9,27
2020-12-22 07:59:00,50,9,25
2020-12-22 08:00:00,48,14,26
2020-12-22 08:01:00,41,8,25
2020-12-22 08:02:00,69,10,14
2020-12-22 08:03:00,31,3,11
